ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9593200,HX243679,04/30/2014 9:54:00 PM,083XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0614,006,18,71,18,1167092,1849154,2014,05/04/2014,41.74163324,-87.66336207,"(41.74163324209134, -87.66336207220016)"
9593205,HX243665,04/30/2014 9:54:00 PM,006XX S CICERO AVE,0810,THEFT,OVER $500,CTA TRAIN,false,false,1533,015,24,25,06,1144445,1896879,2014,05/03/2014,41.87305196,-87.74514417,"(41.873051962729036, -87.74514416800078)"
9593193,HX243659,04/30/2014 9:50:00 PM,003XX N PINE AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1523,015,28,25,08B,1139394,1901925,2014,05/05/2014,41.88699232,-87.76356607,"(41.88699232478599, -87.76356606911904)"
9593278,HX243707,04/30/2014 9:49:00 PM,073XX S KINGSTON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0334,003,7,43,15,1194344,1856510,2014,05/03/2014,41.76119309,-87.56327196,"(41.76119309380014, -87.56327195524432)"
9593172,HX243664,04/30/2014 9:43:00 PM,004XX S STATE ST,0460,BATTERY,SIMPLE,COLLEGE/UNIVERSITY GROUNDS,true,false,0113,001,2,32,08B,1176474,1898487,2014,05/03/2014,41.87680193,-87.6275024,"(41.876801934830546, -87.62750239738976)"
9593191,HX243671,04/30/2014 9:40:00 PM,067XX S CLAREMONT AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENTIAL YARD (FRONT/BACK),true,false,0832,008,17,66,24,1161944,1859577,2014,05/03/2014,41.77034393,-87.68193507,"(41.77034392800803, -87.68193506859602)"
9593326,HX243655,04/30/2014 9:40:00 PM,008XX W CUYLER AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1915,019,46,3,04B,1169955,1927284,2014,05/03/2014,41.95596706,-87.65059625,"(41.95596705820732, -87.65059624779187)"
9593183,HX243643,04/30/2014 9:35:00 PM,074XX N CLARK ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,2424,024,49,1,06,1163036,1949251,2014,05/03/2014,42.01639369,-87.67541167,"(42.01639369148092, -87.67541167471819)"
9593168,HX243638,04/30/2014 9:30:00 PM,063XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2512,025,29,19,08B,1133821,1917897,2014,05/03/2014,41.93092121,-87.78365614,"(41.930921214649864, -87.78365614333985)"
9593292,HX243653,04/30/2014 9:26:00 PM,008XX W BUCKINGHAM PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1924,019,44,6,14,1169854,1922483,2014,05/03/2014,41.94279514,-87.65110803,"(41.942795140944334, -87.65110803378477)"
9593240,HX243611,04/30/2014 9:25:00 PM,029XX W MADISON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,true,false,1222,012,2,27,16,1156997,1899923,2014,05/04/2014,41.88115972,-87.69897692,"(41.88115972446192, -87.69897692185536)"
9593266,HX243642,04/30/2014 9:23:00 PM,021XX W 23RD PL,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,1034,010,25,31,26,1162488,1888351,2014,05/07/2014,41.84929193,-87.67913809,"(41.84929192784532, -87.67913808707054)"
9593219,HX243628,04/30/2014 9:20:00 PM,046XX N MALDEN ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1913,019,46,3,08A,1166626,1931117,2014,05/03/2014,41.96655708,-87.66272409,"(41.96655708297157, -87.66272408878551)"
